name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Cleveland Cavaliers,12/16/2017,2017,1966,1610612739,400975181,1,0,58,1,Alley Oop Dunk Shot,2PT Field Goal,1,Utah Jazz,6,8,0,0,,0,0
LeBron James,Cleveland Cavaliers,11/13/2015,2015,1966,1610612739,400828017,1,6,4,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,0,1,0,0,"Anthony, Carmelo",4.3,14.9
LeBron James,Cleveland Cavaliers,1/15/2016,2015,1966,1610612739,400828488,1,6,18,0,Alley Oop Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1,0,0,"Beverley, Patrick",1.8,24
LeBron James,Miami Heat,3/19/2011,2010,1966,1610612748,310319014,1,4,14,1,Alley Oop Dunk Shot,2PT Field Goal,2,Denver Nuggets,-21,11,,,,,
LeBron James,Cleveland Cavaliers,5/17/2016,2015,1966,1610612739,400876891,2,8,51,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1,0,0,,0,0
LeBron James,Miami Heat,1/11/2012,2011,1966,1610612748,320111012,1,1,9,1,Alley Oop Dunk Shot,2PT Field Goal,2,Los Angeles Clippers,9,25,,,,,
LeBron James,Cleveland Cavaliers,11/9/2017,2017,1966,1610612739,400974917,1,10,28,1,Alley Oop Dunk Shot,2PT Field Goal,0,Houston Rockets,0,3,0,0,,0,0
LeBron James,Miami Heat,5/8/2014,2013,1966,1610612748,400556275,1,4,8,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,6,0,1,0.3,"Pierce, Paul",5.8,24
LeBron James,Cleveland Cavaliers,10/20/2017,2017,1966,1610612739,400974443,2,2,9,1,Alley Oop Dunk Shot,2PT Field Goal,1,Milwaukee Bucks,6,11,0,0,,0,0
LeBron James,Miami Heat,5/13/2012,2011,1966,1610612748,320513014,1,4,55,1,Alley Oop Dunk Shot,2PT Field Goal,1,Indiana Pacers,9,6,,,,,
LeBron James,Cleveland Cavaliers,12/19/2017,2017,1966,1610612739,400975204,1,4,53,1,Alley Oop Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,-6,5,0,0,,0,0
LeBron James,Miami Heat,2/5/2014,2013,1966,1610612748,400489609,3,9,15,1,Alley Oop Dunk Shot,2PT Field Goal,1,Los Angeles Clippers,13,15,1,0.3,"Collison, Darren",5.7,24
LeBron James,Cleveland Cavaliers,3/21/2016,2015,1966,1610612739,400828931,4,11,7,1,Alley Oop Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1,0,0,,0,0
LeBron James,Miami Heat,10/30/2013,2013,1966,1610612748,400488878,4,4,55,1,Alley Oop Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,2,0,0,0,"Carter-Williams, Michael",1.8,20.8
LeBron James,Cleveland Cavaliers,3/11/2017,2016,1966,1610612739,400900372,3,11,49,1,Alley Oop Dunk Shot,2PT Field Goal,0,Orlando Magic,0,1,0,0,,0,0
LeBron James,Miami Heat,5/18/2014,2013,1966,1610612748,400558914,1,3,1,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,6,3,0,0,"Scola, Luis",7.5,18.5
LeBron James,Cleveland Cavaliers,5/1/2018,2017,1966,1610612739,401031713,3,5,21,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,2,15,0,0,,0,0
LeBron James,Miami Heat,5/28/2014,2013,1966,1610612748,400558918,1,11,5,1,Alley Oop Dunk Shot,2PT Field Goal,1,Indiana Pacers,9,-10,0,0,"George, Paul",1,14.6
LeBron James,Cleveland Cavaliers,5/23/2016,2015,1966,1610612739,400876894,4,8,56,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1,0,0,,0,0
LeBron James,Miami Heat,12/30/2011,2011,1966,1610612748,311230016,1,11,4,1,Alley Oop Dunk Shot,2PT Field Goal,0,Minnesota Timberwolves,-4,0,,,,,
LeBron James,Cleveland Cavaliers,12/8/2017,2017,1966,1610612739,400975120,2,2,20,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,2,9,0,0,,0,0
LeBron James,Cleveland Cavaliers,3/27/2015,2014,1966,1610612739,400579370,4,0,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,0,1,0,1.3,"Anderson, Alan",4.1,18.6
LeBron James,Cleveland Cavaliers,3/23/2018,2017,1966,1610612739,400975826,1,6,48,1,Alley Oop Dunk Shot,2PT Field Goal,0,Phoenix Suns,3,9,0,0,,0,0
LeBron James,Miami Heat,2/6/2011,2010,1966,1610612748,310206014,1,2,4,1,Alley Oop Dunk Shot,2PT Field Goal,2,Los Angeles Clippers,-11,24,,,,,
LeBron James,Cleveland Cavaliers,5/27/2016,2015,1966,1610612739,400876896,1,6,37,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1,0,0,,0,0
LeBron James,Miami Heat,4/8/2011,2010,1966,1610612748,310408014,1,0,31,1,Alley Oop Dunk Shot,2PT Field Goal,3,Charlotte Hornets,-16,26,,,,,
LeBron James,Cleveland Cavaliers,3/25/2018,2017,1966,1610612739,400975840,4,4,31,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,-3,7,0,0,,0,0
LeBron James,Miami Heat,12/20/2012,2012,1966,1610612748,400278098,1,6,9,1,Alley Oop Dunk Shot,2PT Field Goal,2,Dallas Mavericks,-8,22,,,,,
