slang_code_word,drug,drug2,drug3,,,,,
La Tierra ,Heroin ,,,,,,,
LA Turnaround ,Amphetamine ,,,,,,,
Ladders ,Alprazolam (Xanax®) ,,,,,,,
Lady ,Cocaine ,,,,,,,
Lady Snow ,Cocaine ,,,,,,,
Late Night ,Cocaine ,,,,,,,
Laughing Grass ,Marijuana ,,,,,,,
Laughing Weed ,Marijuana ,,,,,,,
Lavada ,Cocaine ,,,,,,,
Layer Cake ,Synthetic Cannabinoids ,,,,,,,
Lazers ,Psilocybin Mushrooms ,,,,,,,
Leaf ,Cocaine, Marijuana ,,,,,,
Leaky Leak ,PCP (Phencyclidine) ,,,,,,,
Lean ,Promethazine ,,,,,,,
Leapers ,Amphetamine ,,,,,,,
Leary ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Lechuga ,Marijuana ,,,,,,,
Lemon 714 ,PCP (Phencyclidine) ,,,,,,,
Lemon Drop ,Methamphetamine ,,,,,,,
Lemonade ,Heroin," Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,
Lemon-Lime ,Marijuana ,,,,,,,
Lemons ,Methamphetamine ,,,,,,,
Leña ,Marijuana ,,,,,,,
Lens ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Lenta ,Heroin ,,,,,,,
Lentejuela ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Lethal Weapon ,PCP (Phencyclidine) ,,,,,,,
Liamba ,Marijuana ,,,,,,,
Liberties ,Psilocybin Mushrooms ,,,,,,,
Liberty Caps ,Psilocybin Mushrooms ,,,,,,,
Libreta ,Cocaine ,,,,,,,
Lid Poppers ,Amphetamine, Amphetamine and Dextroamphetamine Combination  ,,,,,,
Lifesaver ,Heroin ,,,,,,,
Light ,Methamphetamine ,,,,,,,
Light Beige ,Methamphetamine ,,,,,,,
Lightening ,Amphetamine ,,,,,,,
Lime Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Lime Pillows ,Marijuana ,,,,,,,
Limitless ,Synthetic Cannabinoids ,,,,,,,
Line ,Cocaine ,,,,,,,
Liquid E ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Liquid X ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Little Bombs ,Amphetamine ,,,,,,,
Little Green Friends ,Marijuana ,,,,,,,
Little Smoke ,Marijuana, Psilocybin Mushrooms ,,,,,,
Live ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Live Resin ,Marijuana Concentrates/Hash Oil ,,,,,,,
Livianas ,Methamphetamine ,,,,,,,
Llesca ,Marijuana ,,,,,,,
Lluvia de Estrellas ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Loaf ,Cocaine, Marijuana ,,,,,,
Lobo ,Marijuana ,,,,,,,
Loco Weed ,Marijuana ,,,,,,,
Lollipop ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Looney Tunes ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Lorries ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Loud ,Marijuana ,,,,,,,
Love ,Crack Cocaine ,,,,,,,
Love Affair ,Cocaine ,,,,,,,
Love Boat ,PCP (Phencyclidine) ,,,,,,,
Love Doctor ,Ecstasy/MDMA/Molly ,,,,,,,
Love Drug ,Ecstasy/MDMA/Molly ,,,,,,,
Love Flip ,Mescaline/Peyote taken with Ecstasy ,,,,,,,
Love Nuggets ,Marijuana ,,,,,,,
Love Potion #9 ,Ecstasy/MDMA/Molly ,,,,,,,
Love Trip ,Ecstasy mixed with Mescaline ,,,,,,,
Love Weed ,Marijuana ,,,,,,,
Lover’s Speed ,Ecstasy/MDMA/Molly ,,,,,,,
Lucas ,Marijuana ,,,,,,,
Lucy ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Lunar Wave ,Synthetic Cathinones ,,,,,,,
Lunch Money ,Flunitrazepam (Rohypnol®) ,,,,,,,
LV ,Cocaine ,,,,,,,
M.J. ,Marijuana ,,,,,,,
M-30s ,Acetaminophen and Oxycodone Combination (Percocet®) ,,,,,,,
Maca Flour ,Cocaine ,,,,,,,
Machinery ,Marijuana ,,,,,,,
Macoña ,Marijuana ,,,,,,,
Mad Dog ,PCP (Phencyclidine) ,,,,,,,
Mad Hatter ,Synthetic Cannabinoids ,,,,,,,
Mad Man ,PCP (Phencyclidine) ,,,,,,,
Madera ,Methamphetamine, Cocaine ,,,,,,
Mafafa ,Marijuana ,,,,,,,
Magic Dust ,PCP (Phencyclidine), Psilocybin Mushrooms ,,,,,,
Magic Smoke ,Marijuana ,,,,,,,
Maje ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Malcolm X ,Ecstasy/MDMA/Molly ,,,,,,,
Mama Coca ,Cocaine ,,,,,,,
Mamph ,Methamphetamine ,,,,,,,
Mandango ,Cocaine ,,,,,,,
Manhattan Silver ,Marijuana ,,,,,,,
Manita ,Cocaine ,,,,,,,
Manteca ,Heroin, Marijuana ,,,,,,
Maracachafa ,Marijuana ,,,,,,,
Maradona ,Cocaine ,,,,,,,
Marathons ,Amphetamine ,,,,,,,
Marbol ,Cocaine ,,,,,,,
Maria ,Marijuana ,,,,,,,
Marias ,Heroin ,,,,,,,
Marimba ,Marijuana ,,,,,,,
Mariquita ,Marijuana ,,,,,,,
Marrion ,Heroin ,,,,,,,
Mary Ann ,Marijuana ,,,,,,,
Mary Jane ,Marijuana ,,,,,,,
Mary Jones ,Marijuana ,,,,,,,
Mary Warner ,Marijuana ,,,,,,,
Mary Weaver ,Marijuana ,,,,,,,
Matchbox ,Marijuana ,,,,,,,
Material ,Cocaine ,,,,,,,
Matraca ,Marijuana ,,,,,,,
Maui Wowie ,Marijuana ,,,,,,,
Mayback ,Cocaine - 62 grams ,,,,,,,
Mayo ,Cocaine, Heroin ,,,,,,
Mazpan ,Heroin ,,,,,,,
M-Cat ,Synthetic Cathinones ,,,,,,,
Meal ,Heroin ,,,,,,,
Mean Green ,PCP (Phencyclidine) ,,,,,,,
Media Lata ,Cocaine ,,,,,,,
Media Luna ,Mescaline/Peyote ,,,,,,,
Meg ,Marijuana ,,,,,,,
Melcocha ,Cocaine ,,,,,,,
Mellow Yellow ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Menthol ,Heroin ,,,,,,,
Meow-Meow ,Synthetic Cathinones ,,,,,,,
Mercedes ,Cocaine ,,,,,,,
Mersh ,Marijuana ,,,,,,,
Mescal ,Mescaline/Peyote ,,,,,,,
Mescapade ,Mescaline/Peyote ,,,,,,,
Meth ,Methamphetamine ,,,,,,,
Methlies Quick ,Methamphetamine ,,,,,,,
Method ,Marijuana ,,,,,,,
Mexicali Haze ,Marijuana ,,,,,,,
Mexican Brown ,Heroin, Marijuana ,,,,,,
Mexican Crack ,Methamphetamine ,,,,,,,
Mexican Crank ,Methamphetamine ,,,,,,,
Mexican Green ,Marijuana ,,,,,,,
Mexican Red ,Marijuana ,,,,,,,
Mexican Valium  ,Flunitrazepam (Rohypnol®) ,,,,,,,
Mezcakuba ,Mescaline/Peyote ,,,,,,,
Mica ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Microdot ,LSD (Lysergic Acid Diethylamide), Mescaline/Peyote ,,,,,,
Micropunto Azul ,White tablet with drop of blue LSD ,,,,,,,
Micropunto Morado ,White tablet with drop of purple LSD ,,,,,,,
Midnight Oil ,Opium ,,,,,,,
Mighty Quinn ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Mile High ,Synthetic Cannabinoids ,,,,,,,
Milk ,Cocaine ,,,,,,,
Milonga ,Cocaine ,,,,,,,
Mind Detergent ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Mind Eraser ,Flunitrazepam (Rohypnol®) ,,,,,,,
Mini Beans ,Amphetamine ,,,,,,,
Mini Bennies ,Amphetamine ,,,,,,,
Mint Leaf ,PCP (Phencyclidine) ,,,,,,,
Mint Weed ,PCP (Phencyclidine) ,,,,,,,
Mira ,Opium ,,,,,,,
Misk ,Psilocybin Mushrooms ,,,,,,,
Miss Emma ,Morphine ,,,,,,,
Miss Girl ,Methamphetamine ,,,,,,,
Mist ,PCP (Phencyclidine) ,,,,,,,
Mister Blue ,Morphine ,,,,,,,
Mixed Jive ,Crack Cocaine ,,,,,,,
MMJ ,Marijuana ,,,,,,,
Mochie ,Hydroponic Marijuana ,,,,,,,
Moisqueta ,Marijuana ,,,,,,,
Mojo ,Cocaine, Heroin ,,,,,,
Mole ,Heroin ,,,,,,,
Moña ,Marijuana ,,,,,,,
Mona Lisa ,Cocaine ,,,,,,,
Mongega ,Heroin ,,,,,,,
Monkey ,Morphine ,,,,,,,
Monkey Dust ,PCP (Phencyclidine) ,,,,,,,
Monkey Juice ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Monkey Tranquilizer ,PCP (Phencyclidine) ,,,,,,,
Monte ,Cocaine, Marijuana ,,,,,,
Montura ,Methamphetamine ,,,,,,,
Moocah ,Marijuana ,,,,,,,
Moon   ,Mescaline/Peyote ,,,,,,,
Moon Rock ,Crack Cocaine, Ecstasy/MDMA/Molly ,,,,,,
Moon Rocks ,Marijuana Concentrates/Hash Oil ,,,,,,,
Mootie ,Marijuana ,,,,,,,
Mora ,Marijuana ,,,,,,,
Morena ,Heroin ,,,,,,,
Morenita ,Heroin ,,,,,,,
Morning Shot ,Amphetamine ,,,,,,,
Morpho ,Morphine ,,,,,,,
Morrow ,Cocaine ,,,,,,,
Mortal Combat ,Heroin ,,,,,,,
Mosquitos ,Cocaine ,,,,,,,
Mostaza ,Marijuana ,,,,,,,
Mota ,Marijuana ,,,,,,,
Mother ,Marijuana ,,,,,,,
Mother of God ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Motor ,Methamphetamine ,,,,,,,
Motors ,Heroin ,,,,,,,
Movie Star Drug ,Cocaine ,,,,,,,
Mowing the Lawn ,Marijuana ,,,,,,,
MPH ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Muchacha ,Cocaine, Methamphetamine ,,,,,,
Muchachas ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Mud ,Heroin ,,,,,,,
Muebles ,Cocaine ,,,,,,,
Muggie ,Marijuana ,,,,,,,
Mujer ,Cocaine, Heroin ,,,,,,
Mujeres ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Murcielago ,Heroin ,,,,,,,
Murder 8 ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Mureler ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Mushies ,Psilocybin Mushrooms ,,,,,,,
Muzzle ,Heroin ,,,,,,,
My Brother ,Marijuana ,,,,,,,
Mystique ,Synthetic Cannabinoids ,,,,,,,
Nails ,Methamphetamine ,,,,,,,
Nal ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Nanoo ,Heroin ,,,,,,,
Napkin ,Cocaine ,,,,,,,
Narizona ,Marijuana ,,,,,,,
Nave ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Needle Candy ,Hydromorphone (Dilaudid®) ,,,,,,,
Negra ,Heroin ,,,,,,,
Negra Tomasa ,Heroin ,,,,,,,
Negrita ,Heroin ,,,,,,,
New Acid ,PCP (Phencyclidine) ,,,,,,,
New Magic ,PCP (Phencyclidine) ,,,,,,,
Newspapers ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Nice and Easy ,Heroin ,,,,,,,
Nickle ,Crack Cocaine ,,,,,,,
Nieve ,Cocaine ,,,,,,,
Night Noise ,Heroin ,,,,,,,
Nil ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Niña ,Cocaine ,,,,,,,
Ninja ,Synthetic Cannabinoids ,,,,,,,
No-Doze ,Methamphetamine ,,,,,,,
Normal ,Cocaine ,,,,,,,
Northern Lights ,Marijuana ,,,,,,,
Nose Candy ,Cocaine ,,,,,,,
Nose Powder ,Cocaine ,,,,,,,
Nubs ,Mescaline/Peyote ,,,,,,,
Nug ,Marijuana ,,,,,,,
Nuggets ,Amphetamine, Crack Cocaine ,,,,,,
Nyl ,Fentanyl and Fentanyl Derivatives ,,,,,,,
O.J. ,Marijuana ,,,,,,,
Oat ,Khat ,,,,,,,
Obama ,Heroin ,,,,,,,
O-Boy ,Marijuana ,,,,,,,
OC ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Ocean Burst ,Synthetic Cathinones ,,,,,,,
Odyssey ,Synthetic Cannabinoids ,,,,,,,
OG ,Marijuana ,,,,,,,
Old Lady ,Cocaine ,,,,,,,
Old Steve ,Heroin ,,,,,,,
OMG ,Synthetic Cannabinoids ,,,,,,,
One Pot ,Methamphetamine ,,,,,,,
One-Fifty-One ,Crack Cocaine ,,,,,,,
Ope ,Opium ,,,,,,,
Opes ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Opio ,Opium ,,,,,,,
Orange Barrels ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Orange Crush ,Promethazine ,,,,,,,
Orange Crystal ,PCP (Phencyclidine) ,,,,,,,
Orange Cubes ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Orange Haze ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Orange Micros ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Orange Wedges ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Oranges ,Amphetamine, Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,
Organic Quaalude ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Owl ,Marijuana ,,,,,,,
Owsley ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Oxy ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Oxy 80s ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Oyster Stew ,Cocaine ,,,,,,,
Ozone ,PCP (Phencyclidine) ,,,,,,,
Paint ,Cocaine, Methamphetamine ,,,,,,
Paja ,Marijuana ,,,,,,,
Pakalolo ,Marijuana ,,,,,,,
Paleta ,Cocaine ,,,,,,,
Palitroque ,Alprazolam (Xanax®) ,,,,,,,
Palm ,Marijuana ,,,,,,,
Paloma ,Cocaine, Marijuana ,,,,,,
Palomita ,Marijuana ,,,,,,,
Palomos ,Cocaine ,,,,,,,
Panama Cut ,Marijuana ,,,,,,,
Panama Gold ,Marijuana ,,,,,,,
Panama Red ,Marijuana ,,,,,,,
Pandora’s Box ,Synthetic Cannabinoids ,,,,,,,
Pantalones ,Cocaine, Methamphetamine ,,,,,,
Pants ,Heroin ,,,,,,,
Papas ,Cocaine ,,,,,,,
Paper Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Paradise ,Cocaine ,,,,,,,
Paradise White ,Cocaine ,,,,,,,
Parrot ,Cocaine ,,,,,,,
Parsley ,Marijuana ,,,,,,,
Pastas ,Amphetamine ,,,,,,,
Paste ,Crack Cocaine ,,,,,,,
Pastillas ,Amphetamine ,,,,,,,
Pasto ,Marijuana ,,,,,,,
Pasture ,Marijuana ,,,,,,,
Patty ,Heroin ,,,,,,,
Patudas ,Methamphetamine ,,,,,,,
Paulas ,Acetaminophen and Oxycodone Combination (Percocet®) ,,,,,,,
Paz ,PCP (Phencyclidine) ,,,,,,,
Peace ,Ecstasy/MDMA/Molly ,,,,,,,
Peace Pill ,PCP (Phencyclidine) ,,,,,,,
Peaches ,Amphetamine ,,,,,,,
Peanut Butter Crank ,Methamphetamine ,,,,,,,
Pearl ,Cocaine ,,,,,,,
Pearly Gates ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pebbles ,Crack Cocaine ,,,,,,,
Pedrito ,Cocaine ,,,,,,,
Pedro Martinez ,Crack Cocaine ,,,,,,,
Pee Wee ,Crack Cocaine ,,,,,,,
Peep ,PCP (Phencyclidine) ,,,,,,,
Peg ,Heroin ,,,,,,,
Peliroja ,Marijuana ,,,,,,,
Pellets ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pelosa ,Marijuana ,,,,,,,
Pen Yan ,Opium ,,,,,,,
Pep Pills ,Amphetamine ,,,,,,,
Pepper ,Amphetamine ,,,,,,,
Percs ,Acetaminophen and Oxycodone Combination (Percocet®) ,,,,,,,
Perico ,Cocaine ,,,,,,,
Personal ,Cocaine ,,,,,,,
Peruvian ,Cocaine ,,,,,,,
Peruvian Flake ,Cocaine ,,,,,,,
Peruvian Lady ,Cocaine ,,,,,,,
Pescado ,Cocaine ,,,,,,,
Peta ,Cocaine ,,,,,,,
Peter Pan ,PCP (Phencyclidine) ,,,,,,,
Pez ,Cocaine ,,,,,,,
P-Funk ,Heroin ,,,,,,,
Pharmacy ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Phoenix ,LSD (Lysergic Acid Diethylamide), Marijuana, Synthetic Cannabinoids ,,,,,
"Phone Screen  
Cleaner ",Synthetic Cathinones ,,,,,,,
Pichicata ,Cocaine ,,,,,,,
Piedras ,Crack Cocaine ,,,,,,,
Piezas ,Heroin ,,,,,,,
Pig Killer ,PCP (Phencyclidine) ,,,,,,,
Pile ,Crack Cocaine ,,,,,,,
Pillow ,Cocaine ,,,,,,,
Pimp ,Cocaine ,,,,,,,
Pin ,Clonazepam (Klonopin®) ,,,,,,,
Pin Gon ,Opium ,,,,,,,
Pin Yen ,Opium ,,,,,,,
Piñata ,Methamphetamine ,,,,,,,
Pine ,Marijuana ,,,,,,,
Pineapple ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Pineapple Express ,Synthetic Cannabinoids ,,,,,,,
Pingas ,Amphetamine, Cocaine ,,,,,,
Pingaz ,Ecstasy/MDMA/Molly ,,,,,,,
Pingers ,Ecstasy/MDMA/Molly ,,,,,,,
Pingos ,Cocaine ,,,,,,,
Pingus ,Flunitrazepam (Rohypnol®) ,,,,,,,
Pink ,U-47700 ,,,,,,,
Pink Blotters ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pink Hearts ,Amphetamine ,,,,,,,
Pink Panther   ,Marijuana ,,,,,,,
Pink Panthers ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pink Robots ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pink Wedges ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pink Witches ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pinky ,U-47700 ,,,,,,,
Pintura ,Marijuana ,,,,,,,
Pintura Blanca ,Cocaine ,,,,,,,
Pixies ,Amphetamine ,,,,,,,
Pizza ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Pizza Toppings ,Psilocybin Mushrooms ,,,,,,,
Planks ,Alprazolam (Xanax®) ,,,,,,,
Plant ,Marijuana ,,,,,,,
Plant Feeder ,Synthetic Cathinones ,,,,,,,
Plant Food ,Synthetic Cathinones ,,,,,,,
Plata ,Heroin ,,,,,,,
Platinum Cookies ,Hydroponic Marijuana ,,,,,,,
Platinum Jack ,Marijuana ,,,,,,,
Pocket Rocket ,Marijuana ,,,,,,,
Pointy Ones ,Methamphetamine ,,,,,,,
Poison ,Fentanyl and Fentanyl Derivatives, Heroin ,,,,,,
Poli ,Cocaine ,,,,,,,
Pollito ,Methamphetamine ,,,,,,,
Pollo ,Cocaine ,,,,,,,
Pollutants ,Amphetamine ,,,,,,,
Polvo ,Cocaine, Heroin ,,,,,,
Polvo de Alegria ,Heroin ,,,,,,,
Polvo de Estrellas ,Heroin ,,,,,,,
Polvo Feliz ,Heroin ,,,,,,,
Pony ,Crack Cocaine ,,,,,,,
Poor Man’s Cocaine ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Pop ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Popcorn ,Marijuana ,,,,,,,
Poppy ,Heroin ,,,,,,,
Popsicle ,Methamphetamine ,,,,,,,
Porro ,Marijuana ,,,,,,,
Posh ,Synthetic Cannabinoids ,,,,,,,
Pot ,Marijuana ,,,,,,,
Potato ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Potpourri ,Synthetic Cannabinoids ,,,,,,,
Pow ,Synthetic Cannabinoids ,,,,,,,
Powder ,Cocaine, Heroin ,,,,,,
Powder Diamonds ,Cocaine ,,,,,,,
Pox ,Opium ,,,,,,,
Pretendo ,Marijuana ,,,,,,,
Primo ,Crack Cocaine ,,,,,,,
Prop 215 ,Marijuana ,,,,,,,
Prostituta Negra ,Heroin ,,,,,,,
Psilly Billy ,Psilocybin Mushrooms ,,,,,,,
Puff ,Marijuana ,,,,,,,
Puffy ,PCP (Phencyclidine) ,,,,,,,
Puma ,Cocaine ,,,,,,,
Pumpers ,Steroids ,,,,,,,
Puppy ,Heroin ,,,,,,,
Pure ,Heroin ,,,,,,,
Pure Ivory ,Synthetic Cathinones ,,,,,,,
Pure Love ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Puritain ,Cocaine ,,,,,,,
Purple ,Ketamine (Ketalar®), Methamphetamine ,,,,,,
Purple   ,Promethazine ,,,,,,,
Purple Barrels ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Purple Drank ,Promethazine ,,,,,,,
Purple Haze ,LSD (Lysergic Acid Diethylamide), Marijuana   ,,,,,,
Purple Hearts ,Amphetamine, LSD (Lysergic Acid Diethylamide) ,,,,,,
Purple OG ,Marijuana ,,,,,,,
Purple Passion ,Psilocybin Mushrooms ,,,,,,,
Purple Rain ,PCP (Phencyclidine) ,,,,,,,
Purple Tickets ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Purple Wave ,Synthetic Cathinones ,,,,,,,
Quadros ,Cocaine ,,,,,,,
Quarters ,Crack Cocaine ,,,,,,,
Queen Ann’s Lace ,Marijuana ,,,,,,,
Queso Blanco ,Cocaine ,,,,,,,
R.I.P. ,Crack Cocaine ,,,,,,,
R2 ,Flunitrazepam (Rohypnol®) ,,,,,,,
Racehorse Charlie ,Cocaine ,,,,,,,
Ragweed ,Marijuana ,,,,,,,
Railroad Weed ,Marijuana ,,,,,,,
Rainy Day Woman ,Marijuana ,,,,,,,
Rambo ,Cocaine, Heroin ,,,,,,
Rapture ,Synthetic Cannabinoids ,,,,,,,
Raspado ,Methamphetamine ,,,,,,,
Rasta Weed ,Marijuana ,,,,,,,
Raw ,Crack Cocaine, Uncut Heroin ,,,,,,
R-Ball ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Ready Rock ,Crack Cocaine ,,,,,,,
Rechard ,Synthetic Cathinones ,,,,,,,
Red Caps ,Crack Cocaine ,,,,,,,
Red Chicken ,Heroin ,,,,,,,
Red Cross ,Marijuana ,,,,,,,
Red Devil ,PCP (Phencyclidine) ,,,,,,,
Red Dirt ,Marijuana ,,,,,,,
Red Dove ,Synthetic Cathinones ,,,,,,,
Red Eagle ,Heroin ,,,,,,,
Red Hair ,Marijuana ,,,,,,,
Red Magic ,Synthetic Cannabinoids ,,,,,,,
Reefer ,Marijuana ,,,,,,,
Refrescas ,Cocaine ,,,,,,,
Refresco ,Cocaine ,,,,,,,
Reggie ,Marijuana ,,,,,,,
Regular Kind ,Cocaine ,,,,,,,
Regular Work ,Cocaine ,,,,,,,
Reindeer Dust ,Cocaine, Heroin ,,,,,,
Repollo ,Marijuana ,,,,,,,
Rest In Peace ,Crack Cocaine ,,,,,,,
Rewind ,Synthetic Cannabinoids ,,,,,,,
Reynolds ,Flunitrazepam (Rohypnol®) ,,,,,,,
Rhythm ,Amphetamine ,,,,,,,
Richie ,Cocaine ,,,,,,,
Rids ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Righteous Bush ,Marijuana ,,,,,,,
Rims ,Acetaminophen and Oxycodone Combination (Percocet®), Cocaine,  ,,,,,
Rippers ,Amphetamine ,,,,,,,
Rittys ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Roach ,Flunitrazepam (Rohypnol®) ,,,,,,,
Road Dope ,Amphetamine ,,,,,,,
Roapies ,Flunitrazepam (Rohypnol®) ,,,,,,,
Roca ,Crack Cocaine ,,,,,,,
Rochas ,Flunitrazepam (Rohypnol®) ,,,,,,,
Rock ,Crack Cocaine ,,,,,,,
Rock Attack ,Crack Cocaine ,,,,,,,
Rocket Fuel ,Methamphetamine, PCP (Phencyclidine) ,,,,,,
Rocks of Hell ,Crack Cocaine ,,,,,,,
Rocky III ,Crack Cocaine ,,,,,,,
Rocky Mountain ,Cocaine ,,,,,,,
Roids ,Steroids ,,,,,,,
Rojo ,Promethazine ,,,,,,,
Rolex ,Cocaine ,,,,,,,
Rolex HH ,Cocaine ,,,,,,,
Rolling ,Ecstasy/MDMA/Molly ,,,,,,,
Rolls ,Ecstasy/MDMA/Molly ,,,,,,,
Roofies ,Flunitrazepam (Rohypnol®) ,,,,,,,
Roofing Tar ,Heroin ,,,,,,,
Rooster ,Cocaine, Crack Cocaine ,,,,,,
Root ,Marijuana ,,,,,,,
Rop ,Flunitrazepam (Rohypnol®) ,,,,,,,
Rope ,Marijuana ,,,,,,,
Rophie ,Flunitrazepam (Rohypnol®) ,,,,,,,
Rosa Maria ,Marijuana ,,,,,,,
Roses ,Amphetamine ,,,,,,,
Ro-Shay ,Flunitrazepam (Rohypnol®) ,,,,,,,
Rosin ,Marijuana Concentrates/Hash Oil ,,,,,,,
Rosin Tech ,Marijuana Concentrates/Hash Oil ,,,,,,,
Rox ,Crack Cocaine ,,,,,,,
Roxy ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Roxy Shorts ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Roxyanne ,Crack Cocaine ,,,,,,,
Roz ,Crack Cocaine ,,,,,,,
R-Pop ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Ruby ,Heroin ,,,,,,,
Rueda ,Amphetamine ,,,,,,,
Running ,Ecstasy/MDMA/Molly ,,,,,,,
Rupture ,PCP (Phencyclidine) ,,,,,,,
Sack ,Heroin ,,,,,,,
Salt ,Heroin, Methamphetamine ,,,,,,
Salt and Pepper ,Marijuana ,,,,,,,
Salting ,Synthetic Cathinones ,,,,,,,
Salty Water ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
San Pedro ,Mescaline/Peyote ,,,,,,,
Sand ,Heroin ,,,,,,,
Santa Maria ,Marijuana ,,,,,,,
SAP ,Marijuana Concentrates/Hash Oil ,,,,,,,
Sasafras ,Marijuana ,,,,,,,
Sativa ,Marijuana ,,,,,,,
Sauce ,Marijuana Concentrates/Hash Oil ,,,,,,,
Scag ,Heroin ,,,,,,,
Scale ,Cocaine ,,,,,,,
Scarface ,Synthetic Cathinones ,,,,,,,
Scat ,Heroin ,,,,,,,
Schmeck ,Cocaine, Heroin ,,,,,,
School Bus ,Alprazolam (Xanax®) ,,,,,,,
Schoolboy ,Cocaine ,,,,,,,
Schoolcraft ,Crack Cocaine ,,,,,,,
Scooby Snacks ,Ecstasy/MDMA/Molly ,,,,,,,
Scooby Snax ,Synthetic Cannabinoids ,,,,,,,
Scoop ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Scorpion ,Cocaine ,,,,,,,
Scottie ,Cocaine ,,,,,,,
Scotty ,Crack Cocaine ,,,,,,,
Scramble ,Crack Cocaine, Uncut Heroin ,,,,,,
Scratch ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Scruples ,Crack Cocaine ,,,,,,,
Scuffle ,PCP (Phencyclidine) ,,,,,,,
Seed ,Cocaine ,,,,,,,
Seni ,Mescaline/Peyote ,,,,,,,
Serpico ,Cocaine ,,,,,,,
Seven-Up ,Crack Cocaine ,,,,,,,
Sexy ,Synthetic Cannabinoids ,,,,,,,
