slang_code_word,drug,drug2,drug3,,,,,
Bottles ,Methamphetamine ,,,,,,,
Boulder ,Crack Cocaine ,,,,,,,
Boxes ,Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,,
Boy ,Crack Cocaine, Heroin ,,,,,,
Bozo ,Heroin ,,,,,,,
Brain Freeze ,Synthetic Cannabinoids ,,,,,,,
Brain Ticklers ,Amphetamine ,,,,,,,
Branches ,Marijuana ,,,,,,,
Brea Negra ,Heroin ,,,,,,,
"Breakfast of  
Champions ",Crack Cocaine ,,,,,,,
Brick Gum ,Heroin ,,,,,,,
Bricks ,Alprazolam (Xanax®) ,,,,,,,
Brisa ,Cocaine ,,,,,,,
Britton ,Mescaline/Peyote ,,,,,,,
Broccoli ,Marijuana ,,,,,,,
Brown ,Heroin ,,,,,,,
Brown Bomber ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Brown Crystal ,Heroin ,,,,,,,
Brown Dots ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Brown Rhine ,Heroin ,,,,,,,
Brown Sugar ,Heroin ,,,,,,,
Brownies ,Amphetamine ,,,,,,,
Bruno Mars ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Bubble Gum ,Crack Cocaine, Heroin ,,,,,,
Bubble Hash ,Marijuana Concentrates/Hash Oil ,,,,,,,
Bubbles ,Synthetic Cathinones ,,,,,,,
Bucio ,Methamphetamine ,,,,,,,
Bud ,Marijuana ,,,,,,,
Bud Light ,Methamphetamine ,,,,,,,
Budda ,Marijuana ,,,,,,,
Budder ,Marijuana Concentrates/Hash Oil ,,,,,,,
Bullion ,Crack Cocaine ,,,,,,,
Bumblebees ,Amphetamine ,,,,,,,
Bump ,Cocaine, Crack Cocaine, Methamphetamine ,,,,,
Bupes ,Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,,
Burrito ,Heroin ,,,,,,,
Burritos Verdes ,Marijuana ,,,,,,,
Bush ,Marijuana ,,,,,,,
Busy Bee ,PCP (Phencyclidine) ,,,,,,,
Butane Hash Oil ,Marijuana Concentrates/Hash Oil ,,,,,,,
Butane Honey Oil ,Marijuana Concentrates/Hash Oil ,,,,,,,
Butt Naked ,PCP (Phencyclidine) ,,,,,,,
Butter ,Fentanyl and Fentanyl Derivatives, Heroin ,,,,,,
Buttons ,Acetaminophen and Oxycodone Combination (Percocet®), Mescaline/ ,,,,,,
Buzz Haze ,Synthetic Cannabinoids ,,,,,,,
Caballo ,Cocaine, Heroin ,,,,,,
Caballo Negro ,Heroin ,,,,,,,
Cabbage ,Marijuana ,,,,,,,
Caca ,Cocaine, Heroin ,,,,,,
Cactus ,Mescaline/Peyote ,,,,,,,
